Book_id,Branch_id,No_of_copies
0030059380,1,0
0030059380,2,0
0030059380,3,1
0030059380,4,0
0030059380,5,0
0030303370,1,1
0030303370,2,1
0030303370,3,1
0030303370,4,0
0030303370,5,1
0030615372,1,1
0030615372,2,1
0030615372,3,1
0030615372,4,1
0030615372,5,1
0060287659,1,1
0060287659,2,1
0060287659,3,0
0060287659,4,1
0060287659,5,1
0060393645,1,1
0060393645,2,1
0060393645,3,1
0060393645,4,1
0060393645,5,0
0060930497,1,0
0060930497,2,1
0060930497,3,1
0060930497,4,1
0060930497,5,1
0060959290,1,0
0060959290,2,1
0060959290,3,0
0060959290,4,1
0060959290,5,1
0070121430,1,1
0070121430,2,1
0070121430,3,1
0070121430,4,1
0070121430,5,1
0070349096,1,1
0070349096,2,1
0070349096,3,0
0070349096,4,1
0070349096,5,0
0070498415,1,1
0070498415,2,1
0070498415,3,1
0070498415,4,1
0070498415,5,1
0070571864,1,1
0070571864,2,1
0070571864,3,1
0070571864,4,0
0070571864,5,1
0071354190,1,1
0071354190,2,1
0071354190,3,1
0071354190,4,1
0071354190,5,0
0072127317,1,0
0072127317,2,1
0072127317,3,1
0072127317,4,1
0072127317,5,1
0072127481,1,0
0072127481,2,1
0072127481,3,1
0072127481,4,2
0072127481,5,1
0078823927,1,1
0078823927,2,1
0078823927,3,0
0078823927,4,1
0078823927,5,0
0078823978,1,1
0078823978,2,0
0078823978,3,0
0078823978,4,0
0078823978,5,1
0120594757,1,0
0120594757,2,1
0120594757,3,1
0120594757,4,1
0120594757,5,1
0120848104,1,1
0120848104,2,0
0120848104,3,0
0120848104,4,1
0120848104,5,0
0125535600,1,1
0125535600,2,0
0125535600,3,1
0125535600,4,1
0125535600,5,1
0130264857,1,1
0130264857,2,1
0130264857,3,0
0130264857,4,1
0130264857,5,0
0130273635,1,1
0130273635,2,2
0130273635,3,12
0130273635,4,1
0130273635,5,1
0130819735,1,1
0130819735,2,1
0130819735,3,1
0130819735,4,1
0130819735,5,0
0134897250,1,0
0134897250,2,1
0134897250,3,1
0134897250,4,0
0134897250,5,0
0136603904,1,1
0136603904,2,1
0136603904,3,1
0136603904,4,1
0136603904,5,1
0137566107,1,1
0137566107,2,0
0137566107,3,1
0137566107,4,1
0137566107,5,1
0138613370,1,0
0138613370,2,0
0138613370,3,1
0138613370,4,0
0138613370,5,1
014051452X,1,1
014051452X,2,1
014051452X,3,1
014051452X,4,0
014051452X,5,1
0151004714,1,1
0151004714,2,0
0151004714,3,1
0151004714,4,1
0151004714,5,1
0156007088,1,1
0156007088,2,0
0156007088,3,1
0156007088,4,1
0156007088,5,0
0156007754,1,1
0156007754,2,0
0156007754,3,0
0156007754,4,0
0156007754,5,0
0192860925,1,1
0192860925,2,1
0192860925,3,1
0192860925,4,1
0192860925,5,1
0195148665,1,1
0195148665,2,0
0195148665,3,1
0195148665,4,1
0195148665,5,1
0198503652,1,1
0198503652,2,0
0198503652,3,1
0198503652,4,1
0198503652,5,1
0199291144,1,1
0199291144,2,1
0199291144,3,0
0199291144,4,0
0199291144,5,0
0201379260,1,1
0201379260,2,1
0201379260,3,0
0201379260,4,0
0201379260,5,0
0201612585,1,1
0201612585,2,0
0201612585,3,1
0201612585,4,1
0201612585,5,0
0201615622,1,1
0201615622,2,1
0201615622,3,0
0201615622,4,0
0201615622,5,1
0201615711,1,0
0201615711,2,1
0201615711,3,1
0201615711,4,0
0201615711,5,1
020163371X,1,0
020163371X,2,0
020163371X,3,1
020163371X,4,1
020163371X,5,1
0201634422,1,0
0201634422,2,0
0201634422,3,1
0201634422,4,0
0201634422,5,1
020165783X,1,0
020165783X,2,1
020165783X,3,0
020165783X,4,1
020165783X,5,1
0201700735,1,0
0201700735,2,1
0201700735,3,0
0201700735,4,0
0201700735,5,1
0201709287,1,1
0201709287,2,1
0201709287,3,2
0201709287,4,1
0201709287,5,0
0256228779,1,0
0256228779,2,0
0256228779,3,1
0256228779,4,1
0256228779,5,1
0262041642,1,0
0262041642,2,1
0262041642,3,2
0262041642,4,1
0262041642,5,1
0262133822,1,0
0262133822,2,0
0262133822,3,1
0262133822,4,1
0262133822,5,1
0262181916,1,1
0262181916,2,1
0262181916,3,1
0262181916,4,1
0262181916,5,1
0312135033,1,1
0312135033,2,1
0312135033,3,1
0312135033,4,1
0312135033,5,2
0312965095,1,1
0312965095,2,1
0312965095,3,1
0312965095,4,1
0312965095,5,0
0314129499,1,0
0314129499,2,1
0314129499,3,1
0314129499,4,1
0314129499,5,1
0316154075,1,1
0316154075,2,1
0316154075,3,1
0316154075,4,1
0316154075,5,0
0316695262,1,1
0316695262,2,1
0316695262,3,1
0316695262,4,1
0316695262,5,1
0316769487,1,1
0316769487,2,1
0316769487,3,1
